"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1661","User login with wrong email or password","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
"","3124","User login with correct email and password","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
"","2041","User login with wrong email or password","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
"","1590","Check displaying of empty courses list","LMS system","2026-09-08","passed","2026-09-08","Courses","Courses","",""
"","1930","Check displaying of dashboard page","LMS system","2026-09-08","passed","2026-09-08","Dashboard","Dashboard","",""
"","2051","Create course","LMS system","2026-09-08","passed","2026-09-08","Courses","Courses","",""
"","1789","Registration with correct email, username and password","LMS system","2026-09-08","passed","2026-09-08","Registration","Authentication","",""
"","1814","Navigation from login page to registration page","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
"","1951","User login with wrong email or password","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
"","2907","Edit course","LMS system","2026-09-08","passed","2026-09-08","Courses","Courses","",""
